manufacturer_id,nm_manufacturer,country
60548,Flores La Conejera: Finca San Juan del Camino Antigua,Colombia
60549,Saga Flowers,Colombia
60550,Gambur Flowers,Colombia
60551,Milanflor,Ecuador
60552,Prestige Roses,Colombia
60553,The Farm Direct,Colombia
60554,Valems Flowers,Ecuador
60555,Cultivos Sayonara,Colombia
60556,Nikita Flowers,Ecuador
60557,Muradian Roses,Ecuador
60558,Rosesland Farm,Ecuador
60559,Latina Farms,Ecuador
60560,Sanima Rosesland,Ecuador
60561,Aluna Flowers: Finca Las Casas,Colombia
60562,Terra Pacific,Ecuador
60563,Sky Garden,Ecuador
60568,Terranostra Farm,Ecuador
60588,Vuelven SAS,Colombia
60649,Positano Farms S.A.S.,Ecuador
60666,Inversiones Rio Rahue TDA.,Ecuador
60773,Pacific Bouquets,Ecuador
60863,Santa Helena Flowers SAS,Colombia
60917,Adara Roses S.A.,Ecuador
60918,Agricola El Chaupi Agrochaupi,Ecuador
60919,Alis Roses,Ecuador
60920,Foreverflor,Ecuador
60921,M&J Flowers,Ecuador
60922,Marilyn Roses,Ecuador
60923,Piangoflor,Ecuador
60924,Violeta Flowers,Ecuador
60925,Olimpo Flowers,Ecuador
60926,San Antonio Colours (Daissy Flores),Ecuador
60927,El Retiro,Colombia
60928,Las Lomitas,Colombia
60983,ALTOS DE LA MIRA S.A.S,Colombia
60984,ANEMOS S.A.S,Colombia
60986,ARTFLOR SAS,Colombia
60987,BEAUTY SISA,Ecuador
60988,BGONIMA FLOWERS,Colombia
60989,BLACKRIVER FLOWER S.A.S CI,Colombia
60990,Bosqueflowers,Ecuador
60991,BOUTIQUE FLOWERS,Ecuador
60992,BOYACA FLOWERS SAS,Colombia
60993,C.I. AGRI RAINBOW SAS,Colombia
60994,C.I. FLORES DE LA GALICIA S. A,Colombia
60995,C.I. FLORES DE LA VICTORIA SAS,Colombia
60996,C.I. SAN JOSE FARMS LTDA.,Colombia
60997,CAICAS FLOWERS SAS,Colombia
60999,CASUPA,Colombia
61000,CHIHISAWIS TUTWABA SAS,Colombia
61001,CI BONDI TRADERS,Colombia
61002,CI CULTIVOS SAN ISIDRO SAS,Colombia
61003,CI FLORES CARMEL SAS,Colombia
61004,CONDOR ANDINO SAS,Colombia
61005,COSMOFLOWER SAS,Colombia
61006,CULTIFLORA DE COLOMBIA SAS,Colombia
